日期,账户收益额,累计成本
20210708,0.00,0.00
20210709,-4.04,0.04
20210712,-15.08,0.08
20210713,4.92,0.08
20210714,-12.08,0.08
20210715,-10.08,0.08
20210716,24.11,0.89
20210719,21.07,0.93
20210720,18.07,0.93
20210721,36.19,1.4
20210722,39.19,1.4
20210723,43.66,1.93
20210726,43.61,1.98
20210727,48.61,1.98
20210728,28.19,2.4
20210729,27.13,3.06
20210730,38.53,3.06
20210802,33.53,3.06
20210803,39.53,3.06
20210804,35.53,3.06
20210805,24.53,3.06
20210806,19.53,3.06
20210809,24.53,3.06
20210810,52.64,3.95
20210811,51.59,4.00
20210812,51.59,4.00
20210813,50.59,4.00
20210816,49.59,4.00
20210817,45.59,4.00
20210818,45.59,4.00
20210819,39.59,4.00
20210820,42.59,4.00
20210823,43.59,4.00
20210824,43.59,4.00
20210825,45.09,4.50
20210826,40.09,4.50
20210827,36.09,4.50
20210830,46.09,4.50
20210831,44.09,4.50
20210901,52.09,4.50
20210902,50.09,4.50
20210903,60.09,4.50
20210906,57.09,4.50
20210907,56.09,4.50
20210908,79.09,4.50
20210909,72.24,5.35
20210910,69.12,5.47
20210913,90.12,5.47
20210914,75.12,5.47
20210915,81.12,5.47
20210916,63.79,5.80
20210917,55.47,6.12
20210922,55.15,6.44
20210923,53.08,6.51
20210924,40.08,6.51
20210927,62.08,6.51
20210928,46.08,6.51
20210929,21.08,6.51
20210930,23.08,6.51
20211008,45.08,6.51
20211011,44.05,6.51
20211012,53.08,6.51
20211013,51.08,6.51
20211014,38.08,6.51
20211015,39.08,6.51
20211018,30.08,6.51
20211019,36.03,6.56
20211020,21.99,6.60
20211021,1.57,7.02
