date,up,down
20200831,49,5
20200901,41,7
20200902,41,3
20200903,33,6
20200904,29,9
20200907,36,15
20200908,52,11
20200909,34,20
20200910,20,73
20200911,40,7
20200914,53,7
20200915,35,3
20200916,26,4
20200917,27,4
20200918,50,1
20200921,30,7
20200922,25,7
20200923,49,3
20200924,22,8
20200925,29,22
20200928,18,34
20200929,33,15
20200930,25,4
20201009,85,2
20201012,75,2
20201013,41,0
20201014,36,4
20201015,27,9
20201016,22,3
20201019,24,5
20201020,34,0
20201021,22,7
20201022,20,4
20201023,19,5
20201026,23,5
20201027,19,4
20201028,29,7
20201029,23,9
20201030,7,17
20201102,36,17
20201103,45,0
20201104,28,3
20201105,51,3
20201106,21,2
20201109,61,3
20201110,26,10
20201111,31,9
20201112,40,4
20201113,27,13
20201116,50,2
20201117,27,8
20201118,30,4
20201119,36,8
20201120,46,7
20201123,44,4
20201124,33,5
20201125,31,16
20201126,25,15
20201127,28,8
20201130,27,8
20201201,44,5
20201202,49,5
20201203,45,9
20201204,38,14
20201207,35,10
20201208,35,13
20201209,33,13
20201210,30,18
20201211,22,20
20201214,47,18
20201215,35,14
20201216,27,21
20201217,50,8
20201218,41,8
20201221,52,9
20201222,36,12
20201223,53,8
20201224,39,32
20201225,71,15
20201228,65,17
20201229,62,50
20201230,68,3
20201231,62,5
20210104,111,10
20210105,81,16
20210106,53,12
20210107,37,20
20210108,53,15
20210111,43,40
20210112,73,7
20210113,41,14
20210114,69,33
20210115,80,12
20210118,91,6
20210119,77,4
20210120,80,2
20210121,84,4
20210122,54,17
20210125,50,23
20210126,55,32
20210127,67,13
20210128,45,31
20210129,36,39
20210201,85,58
20210202,70,21
20210203,42,20
20210204,48,26
20210205,51,47
20210208,58,21
20210209,69,4
20210210,42,10
20210218,102,4
20210219,103,4
20210222,83,7
20210223,54,2
20210224,45,15
20210225,43,3
20210226,42,5
20210301,88,5
20210302,38,13
20210303,82,1
20210304,44,9
20210305,61,9
20210308,55,20
20210309,36,34
20210310,34,13
20210311,70,0
20210312,48,3
20210315,47,11
20210316,66,5
20210317,56,4
20210318,59,3
20210319,54,5
20210322,83,3
20210323,50,28
20210324,59,25
20210325,46,25
20210326,74,4
20210329,66,7
20210330,60,12
20210331,75,8
20210401,74,11
20210402,69,6
20210406,81,6
20210407,95,2
20210408,45,18
20210409,61,6
20210412,70,20
20210413,56,30
20210414,68,8
20210415,46,23
20210416,74,10
20210419,73,6
20210420,45,10
20210421,39,11
20210422,46,6
20210423,38,10
20210426,50,12
20210427,41,21
20210428,64,22
20210429,46,22
20210430,43,25
20210506,64,10
20210507,50,8
20210510,89,5
20210511,57,10
20210512,80,2
20210513,48,3
20210514,79,1
20210517,36,26
20210518,72,6
20210519,58,5
20210520,51,9
20210521,66,4
20210524,58,8
20210525,50,3
20210526,61,1
20210527,66,2
20210528,52,1
20210531,87,3
20210601,69,3
20210602,56,17
20210603,66,10
20210604,51,11
20210607,61,12
20210608,55,25
20210609,54,8
20210610,63,8
20210611,63,16
20210615,41,20
20210616,38,23
20210617,50,2
20210618,60,4
20210621,69,3
20210622,66,3
20210623,53,5
20210624,58,10
20210625,57,5
20210628,63,11
20210629,47,3
20210630,53,4
20210701,53,6
20210702,38,5
20210705,70,9
20210706,42,7
20210707,66,1
20210708,48,4
20210709,69,3
20210712,89,3
20210713,66,4
20210714,58,13
20210715,50,19
20210716,37,5
20210719,51,12
20210720,49,5
20210721,83,3
20210722,55,7
20210723,49,10
20210726,41,29
20210727,28,56
20210728,39,33
20210729,113,1
20210730,81,10
20210802,98,6
20210803,51,33
20210804,84,2
20210805,49,3
20210806,59,0
20210809,79,4
20210810,70,3
20210811,90,3
20210812,63,4
20210813,66,2
20210816,73,15
20210817,29,19
20210818,72,5
20210819,48,13
20210820,47,14
20210823,119,5
20210824,69,2
20210825,79,3
20210826,55,6
20210827,74,10
